pl_pnum	pl_orbper	pl_orbsmax	pl_orbeccen	pl_orbincl	pl_bmassj	st_metfe
1	4.1877558	0.0515	0	86.8	1.19	0.05
1	3.55392771	0.0516	0.016	83.07	0.494	0.28
1	4.2986432	0.05163	0.176	86.93	0.613	0.02
1	4.61442	0.0517	0.2	85.8	0.42	
1	3.89713	0.0518	0.047	88	1.11	-0.02
1	4.088	0.052	0.08		1.36	0.2
3	4.134444	0.052				-0.067
2	4.60182	0.052				0.143
5	4.224537	0.052				-0.131
1	4.178062	0.052		88.7	0.18	-0.18
1	4.322482	0.052	0	88.75	0.3	-0.46
4	4.16071	0.052	0.0028	89.02	1.21	0.36
5	5.8416366	0.0521	0.33			-0.08
1	4.640382	0.0523	0.067	88.3	0.267	
1	3.852985	0.05235	0	85.51	1.057	-0.13
1	4.3176782	0.0524	0.038	85.2	0.59	
1	4.1662739	0.0525		88.61	0.679	0.09
1	4.20474	0.0526	0	86.8	0.52	0.01
1	4.230785	0.0527	0.013		0.472	0.2
1	3.9516205	0.0529	0	84.93	0.574	0.34
1	4.8878162	0.053	0.198	88.5	0.081	0.31
1	3.92289	0.053	0	86.5	0.78	
3	5.188549	0.053				-0.003
4	4.790936	0.053				-0.156
3	4.544439	0.053				-0.171
2	4.72673978	0.053	0	89.183	0.01265	-0.18
1	4.3050011	0.0531	0	87.9	0.514	-0.04
2	5.73594	0.0532		87.35		-0.33
2	5.06416	0.0532		86.7		-0.02
1	3.6623866	0.0535	0	83.3	0.9	
1	4.353011	0.05362	0	85.19	0.477	
1	3.5484657	0.0538		89.14	2.111	0.04
2	4.973456	0.054				-0.014
2	4.921355	0.054				-0.093
4	4.22864	0.054				
2	4.431222	0.054				0.083
4	5.315946	0.054				0.523
3	5.47666	0.054				-0.036
2	4.57953	0.054				-0.124
1	4.763387	0.0542	0.019	89.3	0.237	0.19
1	4.0460435	0.05453	0	88.7	0.514	0.16
1	4.617101	0.05458	0	88.5	0.571	0.12
1	4.086052	0.0546	0.11	85.9	2.32	
1	4.6058749	0.05475	0.158	87.37	0.653	0.16
1	4.1137912	0.05496	0	88.6	1.522	
1	5.005425	0.055	0.245	87.1	2.171	
2	6.312501	0.055				-0.449
3	4.977656	0.055				-0.237
2	5.262155	0.055				-0.314
1	4.2	0.055			3.8	
1	5.72149	0.055	0	89.7	0.12	0.02
1	3.9501907	0.055	0.13	88.7	0.452	0.26
1	4.08722	0.05512	0	87.4	1.88	0.14
1	4.4379629	0.0553		88.796	0.432	0.07
5	5.714932	0.0553		89.2	0.03	-0.37
2	5.34059	0.0555		88.33		-0.03
1	4.46529976	0.05561		85.634	0.525	0.13
1	5.817608	0.0558	0	86.21	1.29	0.18
1	4.4656291	0.0558		89.05	0.627	0.09
1	5.508023	0.0559	0.084	88.8	0.197	0.1
1	6.98541	0.0559				
2	5.6	0.056	0.15		0.045	-0.07
2	5.1134	0.056	0	86.5	0.018	0.3
2	5.931194	0.056				-0.363
2	4.425391	0.056				-0.012
2	6.738975	0.056				-0.185
3	5.217738	0.056				-0.951
2	4.807091	0.056				-0.169
2	4.662715	0.056				0.145
3	5.028219	0.056				-0.441
1	4.9816819	0.0561		88	0.527	0.29
1	5.01718	0.0561	0	87.4	0.89	-0.45
1	3.916243	0.0562	0	82.1	0.63	0.11
2	5.60912	0.0564		87.85		0.04
3	5.39792	0.05664	0.058		0.02731	-0.15
1	4.411953	0.0567	0.21	88.3	0.57	
3	5.974	0.057	0.11		0.01315	-0.3
1	5.0505	0.057	0.024		1.068	0.23
3	4.761702	0.057				-0.274
